timestamp,token_volume,transaction_count,unique_wallets,new_wallets,sniper_tx_count,wash_tx_count,avg_tx_size
2025-02-01 03:00:00,267176891.55899578,9603,1663,296,0.0,7509,72037.87532009215
2025-02-01 04:00:00,179058255.2798257,9414,1553,259,0.0,7408,67008.97131505686
2025-02-01 05:00:00,6863657.664490021,7343,1424,236,0.0,5558,59922.36352597817
2025-02-01 06:00:00,-149710722.16454086,12079,1592,301,0.0,10232,56729.33726335488
2025-02-01 07:00:00,-91095200.45536104,7367,1225,243,0.0,5840,86421.40960586563
2025-02-01 08:00:00,-6123128.08086812,15972,1654,317,0.0,13722,53545.990417571316
2025-02-01 09:00:00,109804302.12681802,20636,1723,308,0.0,18124,38933.279181321086
2025-02-01 10:00:00,-68662336.13854335,16780,1784,336,0.0,14192,44307.91669913383
2025-02-01 11:00:00,-82285835.59616777,16314,1516,253,0.0,14188,36684.2708025566
2025-02-01 12:00:00,148869190.07780868,16341,1555,341,0.0,14218,50674.166452125966
2025-02-01 13:00:00,55641143.432663895,17001,1774,347,0.0,14624,54605.34958611679
2025-02-01 14:00:00,206083329.09353834,20189,2027,397,0.0,17664,35715.16122317592
2025-02-01 15:00:00,126515188.1655297,23404,2114,410,0.0,20497,42203.87340870246
2025-02-01 16:00:00,67161277.09974284,26678,2425,454,0.0,22862,38532.9784415059
2025-02-01 17:00:00,99050240.77316584,33220,2750,448,0.0,29063,31764.462018952923
2025-02-01 18:00:00,116594533.67969769,30637,2923,526,0.0,26143,33136.59972041548
2025-02-01 19:00:00,-45095347.902223706,43787,3285,543,0.0,38744,38524.54625311906
2025-02-01 20:00:00,26448462.513668597,77845,4030,718,0.0,71240,19159.600546067566
2025-02-01 21:00:00,71853057.24902333,31111,2542,480,0.0,27721,31865.669582422393
2025-02-01 22:00:00,70684343.58210033,22255,2355,407,0.0,19147,44225.15550902937
2025-02-01 23:00:00,121634501.69072576,21820,2221,418,0.0,19031,50737.95578279163
2025-02-02 00:00:00,154936271.73718137,25510,1888,344,0.0,22971,29419.80290682328
2025-02-02 01:00:00,65801069.18551285,17253,1582,261,0.0,15225,38974.82671571087
2025-02-02 02:00:00,73322050.187436,13987,1506,249,0.0,12055,43746.55971837085
2025-02-02 03:00:00,-61628548.03406493,25288,2153,488,0.0,22452,24387.209081034907
2025-02-02 04:00:00,194046706.7135787,32858,1949,275,0.0,29918,24077.319876295605
2025-02-02 05:00:00,207230898.05554512,19801,1475,233,0.0,17725,38569.734294462614
2025-02-02 06:00:00,-97288164.56964755,16607,1201,171,0.0,14972,26851.97194874087
2025-02-02 07:00:00,-108076517.59334624,18626,1182,212,0.0,17057,31894.63184767664
2025-02-02 08:00:00,-22402316.211062584,17045,1249,234,0.0,15278,28228.46075318163
2025-02-02 09:00:00,-192448156.37455806,11578,1135,229,0.0,10095,34740.20234046713
2025-02-02 10:00:00,-87252296.0291626,15431,1099,223,0.0,13847,32712.302200572878
2025-02-02 11:00:00,-9653187.98531143,14449,1219,249,0.0,12799,33846.23068658812
2025-02-02 12:00:00,-242637770.51921055,18308,1302,248,0.0,16473,36337.02157068054
2025-02-02 13:00:00,-330493637.8544629,27285,1585,279,0.0,24765,30953.612529877395
2025-02-02 14:00:00,90190139.91369437,28963,1648,271,0.0,26618,27510.52646970139
2025-02-02 15:00:00,38300920.457853906,23360,1532,287,0.0,21159,46477.8933905988
2025-02-02 16:00:00,-201272960.10474554,22525,1616,329,0.0,20356,35466.30197181121
2025-02-02 17:00:00,-125138160.9731136,33587,2088,349,0.0,30521,37725.51298085569
2025-02-02 18:00:00,-49486067.93934482,29656,2023,393,0.0,27049,43126.753553106166
2025-02-02 19:00:00,-4907206.409581746,21547,2187,416,0.0,18398,53931.47485542114
2025-02-02 20:00:00,147045111.76047695,25670,1841,325,0.0,23186,44807.81675160606
2025-02-02 21:00:00,-29161938.738779046,17253,1446,267,0.0,15392,36914.44476710401
2025-02-02 22:00:00,-84783377.20930882,25378,1612,306,0.0,23314,31559.23070276993
2025-02-02 23:00:00,-36358580.334879056,24223,1488,262,0.0,22264,28162.465437590345
2025-02-03 00:00:00,143253865.89944306,33630,1596,280,0.0,31553,18867.705115525125
2025-02-03 01:00:00,93582043.42023261,36269,2232,344,0.0,32914,21647.597201649136
2025-02-03 02:00:00,301592891.82451963,47669,3159,525,0.0,42719,28061.3059989085
2025-02-03 03:00:00,55765720.55007853,29770,2061,376,0.0,26617,24465.991677938924
2025-02-03 04:00:00,402505599.7818219,22416,1849,358,0.0,19935,38352.814828174945
2025-02-03 05:00:00,24850439.926292703,20134,1556,284,0.0,18083,31110.219718470704
2025-02-03 06:00:00,107288062.30185953,16566,1597,298,0.0,14594,40907.26675306978
2025-02-03 07:00:00,115662520.60838883,20423,1432,258,0.0,18372,27685.473154465075
2025-02-03 08:00:00,-26023739.39782521,13746,1369,246,0.0,11932,32257.068060309477
2025-02-03 09:00:00,-237044208.69589907,16138,1295,268,0.0,14344,33381.7722430946
2025-02-03 10:00:00,18743226.413538665,13104,1338,214,0.0,11399,41232.958091824206
